EAR,MOR,NLR,State
0.2610939386926753,0.48406254311581864,1.0,Normal
0.2560991161798971,0.1988338076113727,1.0548956716418834,Normal
0.29036882500433114,0.4726269011736447,1.0,Normal
0.2716008781284828,0.16765472885698185,1.050551539233257,Normal
0.27000530768723824,0.44852317730439556,1.0,Normal
0.2768137565643022,0.15592901596898065,1.050551539233257,Normal
0.2707498563466483,0.48284168696846813,1.0,Normal
0.27047516022090073,0.15811388300841897,1.050551539233257,Normal
0.27164574098020383,0.48284585515446227,1.0,Normal
0.31315801964224615,0.1685625741647846,1.0548956716418834,Normal
0.27154927819211006,0.4485347611419462,1.0548956716418834,Normal
0.3396130775052396,0.1614977416088189,1.050551539233257,Normal
0.2822948864637459,0.49542188685783645,1.0,Normal
0.3019002463338847,0.17839942466769487,1.0,Normal
0.2643809014012545,0.48385398997479784,1.0,Normal
0.31563744153738427,0.20180293815329706,1.0548956716418834,Normal
0.2321720720266266,0.4700175116860271,1.0548956716418834,Normal
0.31375536298449513,0.28936818072065335,0.9954163242264942,Normal
0.24315358107477564,0.4776629999596982,0.9451416205663726,Normal
0.33773099895235037,0.26949262836671084,1.0,Normal
0.2672689092704883,0.4940428438785063,1.0,Normal
0.2999275651101308,0.310422049110945,0.9954163242264942,Normal
0.2512063166448345,0.47123477178389517,0.9451416205663726,Normal
0.254704589744045,0.2893435775076866,0.9402905622537189,Normal
0.2672689092704883,0.45983281369086054,1.0,Normal
0.2827576263741466,0.3213341636849382,0.8903274267533648,Normal
0.2688342576636744,0.4612838536763201,1.0,Normal
0.26464019391611376,0.3314363846399363,0.8446387595572095,Normal
0.28761187081776385,0.46259730426852,1.0548956716418834,Normal
0.29166666666666663,0.29548674206124714,0.8446387595572095,Normal
0.2630074711713508,0.4434823096398231,1.0,Normal
0.2394243971033542,0.25209801957513245,0.7808688094430303,Normal
0.28109842935519624,0.4612347172018678,1.0548956716418834,Normal
0.19376485940817986,0.3006607037817036,0.7749901651618302,Normal
0.2684377460965796,0.46259730426852,0.9954163242264942,Normal
0.17373273546522583,0.3107918393336233,0.664885832855316,Normal
0.23219916861309187,0.48529969550786245,1.0,Normal
0.15885266892051375,0.3122784427190488,0.6625891564490792,Normal
0.29072340291329435,0.4569435764938488,0.9954163242264942,Normal
0.261196853074275,0.43207686619661273,0.8730378697119727,Normal
0.2684377460965796,0.48385398997479784,1.0,Normal
0.2672689092704883,0.45256390496748605,1.0,Normal
0.3171512263099177,0.4409643580230409,0.8039536450658297,Normal
0.28096578638980035,0.45861555359299255,0.9451416205663726,Normal
0.2789057011896527,0.45861555359299255,1.0,Normal
0.31099666864184816,0.39513451694126966,0.8642633970683908,Normal
